Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion fee,Currency (Currency conversion fee),French transaction tax,Currency (French transaction tax)
Deposit,2023-05-08 09:31:31,,,,Bank Transfer,ccf94a8e-c50d-4413-9e3b-6a4c9a3927e5,,,,,,,500.00,EUR,,,,,,
Interest on cash,2023-06-05 21:11:44,,,,Interest on cash,681766b7-96f4-42ff-b51d-5f37b59a58eb,,,,,,,0.01,EUR,,,,,,
Interest on cash,2023-06-06 21:14:57,,,,Interest on cash,b629a147-f5f2-4911-a5c0-73dbb77533ba,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-06-07 21:16:45,,,,Interest on cash,a5069948-4255-47d9-8a32-dfb1ec353e6a,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-06-08 21:16:29,,,,Interest on cash,c2ae0787-b425-4771-b3c9-206fa4ab88bd,,,,,,,0.01,EUR,,,,,,
Interest on cash,2023-06-09 21:17:11,,,,Interest on cash,b0afd1c4-06c8-47ca-a084-1db21274d91e,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-06-10 21:17:39,,,,Interest on cash,4301d665-f12f-49a5-9c87-1d28341eff92,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-06-11 21:17:04,,,,Interest on cash,59b6c8d0-52da-42b6-be04-506e4106a47f,,,,,,,0.01,EUR,,,,,,
Interest on cash,2023-06-12 21:17:15,,,,Interest on cash,f2cea86b-6a15-4598-94db-43281675a34c,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-06-13 21:16:55,,,,Interest on cash,185a6b4f-d3b8-4df2-bb81-1b1370e8c295,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-06-14 21:17:08,,,,Interest on cash,027cab64-184f-4525-9690-51c0f54d9b66,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-06-15 21:16:47,,,,Interest on cash,7a80faf0-5959-4f3f-9591-9aaea1fbaf47,,,,,,,0.01,EUR,,,,,,
Interest on cash,2023-06-16 21:16:03,,,,Interest on cash,4d7eab43-9dd4-43c4-824c-a207afa92c08,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-06-17 21:15:17,,,,Interest on cash,ac07f40c-880b-4c73-8925-cdae53810665,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-06-18 21:16:03,,,,Interest on cash,e57bfe18-ffdf-4159-af60-652d17578167,,,,,,,0.01,EUR,,,,,,
Interest on cash,2023-06-19 21:14:49,,,,Interest on cash,4b6a1099-eabf-45f4-8d19-8e60f90b8ee7,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-06-20 21:14:22,,,,Interest on cash,0cd74f57-d305-4d69-b92b-fd515aab7122,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-06-21 21:15:53,,,,Interest on cash,c992d909-33f1-4f88-9457-5e9f35f96460,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-06-22 21:15:55,,,,Interest on cash,ea9268f6-2683-472d-81e3-dc3e5b33a38c,,,,,,,0.01,EUR,,,,,,
Interest on cash,2023-06-23 21:14:58,,,,Interest on cash,7b2062d8-2abf-45dd-a812-e30c047278f4,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-06-24 21:14:09,,,,Interest on cash,d8543ff5-a61a-4c14-bd6b-da2ea4861461,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-06-25 21:14:13,,,,Interest on cash,b4dfd5ac-8ea0-442c-9e40-a37a6bd1efde,,,,,,,0.01,EUR,,,,,,
Interest on cash,2023-06-26 21:13:53,,,,Interest on cash,d91ec4ec-587a-4362-bdf4-1fb2fe658be5,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-06-27 21:14:47,,,,Interest on cash,1f0d05fc-35ca-464d-b2ee-78c434517b2d,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-06-28 21:14:50,,,,Interest on cash,3571c6bd-de18-4063-adcb-a346870d588d,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-06-29 21:14:55,,,,Interest on cash,6a947c8b-3819-4b5f-997e-c8a73b6b8ba8,,,,,,,0.01,EUR,,,,,,
Interest on cash,2023-06-30 21:15:12,,,,Interest on cash,d7a8b2ed-deb3-4aec-923b-828921564ea3,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-07-01 21:15:53,,,,Interest on cash,59bdd308-4df6-49e8-807b-ed4f44b828c8,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-07-02 21:16:01,,,,Interest on cash,d15c9e55-d829-43ff-9cdc-8c894096f374,,,,,,,0.01,EUR,,,,,,
Market buy,2023-07-03 13:30:47,US0326541051,ADI,Analog Devices,,EOF3141682554,0.5010323000,194.5000000000,USD,1.09139637,,,89.42,EUR,,,0.13,EUR,,
Market buy,2023-07-03 13:30:51,US3119001044,FAST,Fastenal,,EOF3141683515,5.0000000000,58.6400000000,USD,1.09142346,,,269.04,EUR,,,0.40,EUR,,
